Naziv,Cena,Dijagonala ekrana,Snaga zvucnika,USB
Tesla Televizor 32E325BH,14.545  RSD,32",2 x 10 W,2
LED 24DSA306HG2 Non smart T VOX,13.999  RSD,24",2 x 3 W RMS,1
Tesla Televizor 40E325BF,23.999  RSD,40",10 W,2
Alpha Televizor 32G7NH,14.999  RSD,32",2 x 5 W,1
Volt Televizor 32VHD20BA,12.998  RSD,32",2 x 7 W,2
LG Smart televizor 50UQ80003LB.AEU,62.999  RSD,50",20 W,2
Alpha Televizor 43G7NF,24.999  RSD,43",2 x 8 W,2
Volt Televizor 40VF21BT2,21.998  RSD,40",2 x 7 W,2
Stella Televizor 32" S32D40,11.998  RSD,32",2 x 8 W,2
Volt Televizor 43VF21BT2,23.998  RSD,43",2 x 7 W,2
Hisense Televizor 32A5100F,18.999  RSD,Nema podataka o dijagonali,Nema podataka o zvucniku,Nema podataka o USB
SkyTech Televizor 32SKHD21BA,13.998  RSD,32",2 x 10 W Impedansa: 8 Ohm,2
Alpha Televizor 40G7NF - 40",23.999  RSD,40",2 x 8 W,2
VOX Televizor 39DSA316B,19.998  RSD,39",2 x 6 W,2
VOX Televizor 32DSA314B,13.998  RSD,32",2 x 6 W,2
Samsung Televizor UE32T4002AKXXH,22.999  RSD,32",10 W Dolby Digital Plus,1
Tesla Televizor 50Q310BU,33.999  RSD,50",10 W x 2,2
VOX Televizor LED 32DSA680B,15.499  RSD,32",2 x 8 W,2
Skytech Televizor 32SKHD20BT2,16.990  RSD,32",2 x 5 W,1
VOX Non-smart TV LED 42DSAFG10B,21.999  RSD,42",8 W,Nema podataka o USB
