Naziv,Cena,Procesor,Rezolucija,Broj HDMI
Samsung Smart televizor QE65S95BATXXH,249.999  RSD,Nema podataka o procesoru,Nema podataka o rezoluciji,Nema podataka o HDMI
Samsung Smart televizor 55" UE55AU7172UXXH,57.990  RSD,Crystal Procesor 4K,3840 x 2160 px 4K Ultra HD,3
LG Smart televizor 50UQ75003LF.AEU,55.999  RSD,Nema podataka o procesoru,Nema podataka o rezoluciji,Nema podataka o HDMI
Sony Smart televizor KD50X81KAEP,79.999  RSD,4K HDR Processor X1 4K X-Reality PRO TRILUMINOS PROObject-based HDR remaster,3840 x 2160 px,4
Samsung Smart televizor QE55QN85BATXXH,129.999  RSD,Nema podataka o procesoru,3840 x 2160 piksela,4
Samsung Smart televizor UE65AU7172UXXH,79.999  RSD,Crystal 4K,3840 x 2160 px,3
Tesla Smart televizor 40E635BFS,25.999  RSD,Nema podataka o procesoru,1920 x 1080 px,3
Samsung Smart televizor 50" UE50AU7172UXXH,49.999  RSD,Crystal Procesor 4K,3840 x 2160 px 4K Ultra HD,3
Samsung Smart televizor UE75AU7172UXXH,119.999  RSD,Crystal Procesor 4K,3840 x 2160 px 4K Ultra HD,3
Samsung Smart televizor UE43AU7172UXXH,41.999  RSD,Crystal Procesor 4K,3840 x 2160 px 4K Ultra HD,3
Tesla Smart televizor 55E625BUS,40.999  RSD,ARM cortex - Quad Core CA55 / 1300 MHz GPU: Mali 470 MP3,3840 x 2160 px 4K UHD,3
TCL Smart TV 43P635,34.999  RSD,CA55*4 @1.3GHZ MAX,3840*2160,1
VOX Smart televizor 43WOS315B,31.999  RSD,Nema podataka o procesoru,3840 x 2160 px 4K UHD,3
Hisense Smart televizor 50A63H,44.999  RSD,Nema podataka o procesoru,3840 x 2160 px 4K UHD,3
Sony Smart televizor XR-77A83K.AEP,449.999  RSD,Cognitive XR,3840 x 2160 px,4
Hisense Smart televizor 50" 50A7GQ,51.999  RSD,Nema podataka o procesoru,3840 x 2160 px 4K Ultra HD,Nema podataka o HDMI
Hisense Smart televizor 43A63H,37.999  RSD,Nema podataka o procesoru,3840 x 2160 px 4K UHD,3
Tesla Smart televizor 50E625BUS,39.999  RSD,ARM cortex - Quad Core CA55 / 1300 MHz GPU: Mali 470 MP3,3840 x 2160 px 4K UHD,3
JVC Smart televizor 43VAF3000,29.090  RSD,Quad Core,1920 x 1080 px Full HD,3
32E625BHS Smart TV do TESLA,18.181  RSD,ARM cortex - Quad core CA53 1300 MHz GPU: Mali 470 MP3,1366 x 768 px HD,3
JVC Smart televizor LT-43VA3000,32.726  RSD,Quad Core,3840 x 2160 px,4
Tesla Smart televizor 32E610BHS,20.454  RSD,ARM cortex Quad Core CA53 1300 MHz GPU: Mali 470 MP3,1366 x 768 px HD Ready,3
JVC65VA3000 Smart TV 65 JVC,61.817  RSD,Quad Core,3840 x 2160 px 4K UHD,4
VOX Smart televizor 65" 65WOS315B,63.999  RSD,Nema podataka o procesoru,3840 x 2160 px 4K Ultra HD,3
Tesla Smart televizor 43E625BUS,29.990  RSD,ARM cortex - Quad Core CA55,3840 x 2160 px,3
VOX Smart televizor LED 32A11H315FL,17.272  RSD,Nema podataka o procesoru,1366 x 768 px,2
VOX Smart televizor LED 42A11FG10B,23.635  RSD,Nema podataka o procesoru,1920 x 1080 px,2
JVC Smart televizor LT-43VA2100,31.809  RSD,Nema podataka o procesoru,3840 x 2160 px,3
JVC Smart televizor LT-43VA3200,30.900  RSD,Nema podataka o procesoru,3840 x 2160 px,3
JVC Smart televizor LT-55VA3200,41.809  RSD,Nema podataka o procesoru,3840 x 2160 px,3
JVC Smart televizor LT-65VA3200,61.809  RSD,Nema podataka o procesoru,3840 x 2160 px,3
JVC Smart televizor LT-50VA3200,37.264  RSD,Nema podataka o procesoru,3840 x 2160 px,3
